node1,node2,route_distance,Heuristic distance
Baghpat,Rajsamand,661,542
Baghpat,Raebareli,567,498
Baghpat,Gaya,1037,898
Baghpat,Kota,542,434
Baghpat,Sikar,307,252
Baghpat,Prayagraj,664,600
Baghpat,Bhopal,853,629
Baghpat,Una,348,294
Baghpat,Bundi,549,419
Baghpat,Sarangarh,1265,1005
Baghpat,Lakhimpur,430,364
Baghpat,Madhepura,1136,954
Baghpat,Daudnagar,966,833
Baghpat,Belagavi,1756,1476
Baghpat,Sitapur,433,371
Baghpat,Delhi,48,29
Baghpat,Faridabad,67,59
Baghpat,Jodhpur,593,511
Baghpat,Pakur,1384,1158
Baghpat,Baghpat,0,0
Baghpat,Nawada,1097,939
Baghpat,Mirzapur,760,676
Baghpat,Jaipur,326,265
Baghpat,Durgapur,1296,1172
Baghpat,Chitrakoot,653,551
Baghpat,Palamu,1079,888
Baghpat,Calicut,2442,1963
Baghpat,Jehanabad,1038,873
Balaghat,Agra,793,633
Balaghat,Aligarh,886,706
Balaghat,Rajsamand,999,737
Balaghat,Raebareli,655,501
Balaghat,Gaya,885,592
Balaghat,Kota,768,579
Balaghat,Prayagraj,582,435
Balaghat,Bhopal,469,327
Balaghat,Una,1400,1138
Balaghat,Daudnagar,829,559
Balaghat,Sitamarhi,1026,755
Balaghat,Morena,714,564
Balaghat,Sitapur,861,639
Balaghat,Delhi,1011,823
Balaghat,Faridabad,968,785
Balaghat,Jodhpur,1151,877
Balaghat,Mahoba,540,386
Balaghat,Pakur,1161,844
Balaghat,Sagar,353,269
Balaghat,Nawada,944,645
Balaghat,Bikaner,1240,976
Balaghat,Mirzapur,614,440
Balaghat,Durgapur,1024,756
Balaghat,Chitrakoot,504,379
Balaghat,Rohtas,794,532
Balaghat,Palamu,704,460
Balaghat,Calicut,1596,1258
Balaghat,Sri Ganganagar,1410,1096
Balaghat,Balaghat,0,0
Belagavi,Agra,1561,1305
Belagavi,Aligarh,1660,1384
Belagavi,Araria,2176,1761
Belagavi,Baghpat,1756,1476
Belagavi,Lucknow,1717,1389
Belagavi,Rajsamand,1269,1022
Belagavi,Patna,1869,1545
Belagavi,Gaya,1865,1476
Belagavi,Kota,1212,1046
Belagavi,Sikar,1576,1303
Belagavi,Prayagraj,1544,1307
Belagavi,Bhopal,1086,875
Belagavi,Una,2068,1739
Belagavi,Bundi,1245,1067
Belagavi,Sarangarh,1384,1104
Belagavi,Lakhimpur,1850,1487
Belagavi,Daudnagar,1794,1448
Belagavi,Belagavi,0,0
Belagavi,Hanamkonda,737,589
Belagavi,Sitamarhi,1988,1647
Belagavi,Sitapur,1809,1445
Belagavi,Delhi,1719,1448
Belagavi,Faridabad,1684,1420
Belagavi,Mahoba,1488,1186
Belagavi,Pakur,2137,1698
Belagavi,Sagar,1260,989
Belagavi,Nawada,1925,1525
Belagavi,Bikaner,1630,1353
Belagavi,Mirzapur,1576,1327
Belagavi,Durgapur,2000,1588
Belagavi,Chitrakoot,1466,1227
Belagavi,Palamu,1711,1338
Belagavi,Calicut,647,526
Belagavi,Jehanabad,1866,1505
Belagavi,Bhagalpur,2100,1663
Bhagalpur,Agra,1070,921
Bhagalpur,Araria,137,110
Bhagalpur,Belagavi,2100,1663
Bhagalpur,Lucknow,735,628
Bhagalpur,Rajsamand,1608,1319
Bhagalpur,Raebareli,704,584
Bhagalpur,Gaya,240,205
Bhagalpur,Sikar,1421,1208
Bhagalpur,Prayagraj,591,516
Bhagalpur,Bhopal,1223,995
Bhagalpur,Una,1590,1255
Bhagalpur,Lakhimpur,878,686
Bhagalpur,Madhepura,186,119
Bhagalpur,Hanamkonda,1542,1108
Bhagalpur,Sitamarhi,302,210
Bhagalpur,Morena,1086,910
Bhagalpur,Sitapur,826,679
Bhagalpur,Delhi,1248,1052
Bhagalpur,Faridabad,1244,1021
Bhagalpur,Jodhpur,1638,1403
Bhagalpur,Mahoba,840,714
Bhagalpur,Pakur,151,110
Bhagalpur,Sagar,1055,848
Bhagalpur,Bikaner,1639,1394
Bhagalpur,Mirzapur,525,444
Bhagalpur,Ghazipur,405,343
Bhagalpur,Jaipur,1307,1134
Bhagalpur,Durgapur,246,193
Bhagalpur,Rohtas,344,298
Bhagalpur,Palamu,454,329
Bhagalpur,Calicut,2466,1945
Bhagalpur,Bhagalpur,0,0
Bhopal,Agra,536,438
Bhopal,Aligarh,630,518
Bhopal,Araria,1294,1064
Bhopal,Baghpat,853,629
Bhopal,Balaghat,469,327
Bhopal,Belagavi,1086,875
Bhopal,Bhagalpur,1223,995
Bhopal,Lucknow,612,534
Bhopal,Rajsamand,573,410
Bhopal,Patna,990,824
Bhopal,Kota,341,267
Bhopal,Bhopal,0,0
Bhopal,Una,1156,916
Bhopal,Bundi,375,299
Bhopal,Sarangarh,748,611
Bhopal,Madhepura,1164,962
Bhopal,Hanamkonda,793,623
Bhopal,Morena,460,363
Bhopal,Delhi,783,603
Bhopal,Faridabad,748,570
Bhopal,Jodhpur,724,553
Bhopal,Sagar,169,149
Bhopal,Nawada,1045,846
Bhopal,Mirzapur,683,562
Bhopal,Ghazipur,821,676
Bhopal,Chitrakoot,504,410
Bhopal,Rohtas,876,700
Bhopal,Palamu,890,685
Bhopal,Jehanabad,987,798
Bikaner,Araria,1666,1417
Bikaner,Arrah,1356,1161
Bikaner,Balaghat,1240,976
Bikaner,Belagavi,1630,1353
Bikaner,Bhagalpur,1639,1394
Bikaner,Rajsamand,422,332
Bikaner,Raebareli,926,811
Bikaner,Gaya,1396,1219
Bikaner,Sikar,221,185
Bikaner,Prayagraj,1042,895
Bikaner,Una,608,477
Bikaner,Bundi,439,369
Bikaner,Sarangarh,1543,1217
Bikaner,Lakhimpur,884,734
Bikaner,Daudnagar,1325,1153
Bikaner,Hanamkonda,1619,1280
Bikaner,Sitamarhi,1411,1216
Bikaner,Morena,622,493
Bikaner,Sitapur,827,727
Bikaner,Faridabad,445,395
Bikaner,Jodhpur,253,199
Bikaner,Mahoba,941,720
Bikaner,Pakur,1743,1498
Bikaner,Sagar,919,714
Bikaner,Bikaner,0,0
Bikaner,Ghazipur,1202,1055
Bikaner,Chitrakoot,996,815
Bikaner,Calicut,2314,1873
Bikaner,Sri Ganganagar,241,216
Bundi,Aligarh,453,365
Bundi,Araria,1428,1186
Bundi,Arrah,1118,906
Bundi,Baghpat,549,419
Bundi,Belagavi,1245,1067
Bundi,Bhopal,375,299
Bundi,Bikaner,439,369
Bundi,Lucknow,667,552
Bundi,Rajsamand,231,182
Bundi,Raebareli,695,568
Bundi,Patna,1162,953
Bundi,Prayagraj,753,623
Bundi,Bundi,0,0
Bundi,Madhepura,1293,1079
Bundi,Daudnagar,1049,882
Bundi,Hanamkonda,1181,916
Bundi,Sitamarhi,1210,994
Bundi,Morena,346,262
Bundi,Delhi,475,390
Bundi,Faridabad,440,369
Bundi,Pakur,1496,1234
Bundi,Nawada,1179,999
Bundi,Mirzapur,825,697
Bundi,Ghazipur,955,797
Bundi,Chitrakoot,638,526
Bundi,Rohtas,1010,843
Bundi,Palamu,1084,873
Bundi,Calicut,1930,1568
Bundi,Sri Ganganagar,676,525
Calicut,Agra,2233,1777
Calicut,Aligarh,2326,1857
Calicut,Arrah,2328,1838
Calicut,Baghpat,2442,1963
Calicut,Balaghat,1596,1258
Calicut,Belagavi,647,526
Calicut,Bhagalpur,2466,1945
Calicut,Bikaner,2314,1873
Calicut,Bundi,1930,1568
Calicut,Lucknow,2224,1808
Calicut,Rajsamand,1978,1541
Calicut,Raebareli,2124,1754
Calicut,Patna,2376,1867
Calicut,Gaya,2372,1786
Calicut,Kota,1894,1544
Calicut,Sikar,2258,1811
Calicut,Prayagraj,2051,1694
Calicut,Una,2750,2238
Calicut,Madhepura,2547,1991
Calicut,Hanamkonda,1059,850
Calicut,Sitamarhi,2494,1979
Calicut,Morena,2152,1702
Calicut,Sitapur,2315,1876
Calicut,Delhi,2401,1936
Calicut,Faridabad,2366,1905
Calicut,Jodhpur,2166,1683
Calicut,Mahoba,1995,1612
Calicut,Pakur,2430,1953
Calicut,Ghazipur,2224,1785
Calicut,Jaipur,2145,1732
Calicut,Durgapur,2264,1826
Calicut,Palamu,2169,1647
Calicut,Calicut,0,0
Calicut,Jehanabad,2373,1824
Chitrakoot,Agra,426,361
Chitrakoot,Araria,799,669
Chitrakoot,Arrah,445,384
Chitrakoot,Baghpat,653,551
Chitrakoot,Balaghat,504,379
Chitrakoot,Belagavi,1466,1227
Chitrakoot,Bhopal,504,410
Chitrakoot,Bikaner,996,815
Chitrakoot,Bundi,638,526
Chitrakoot,Lucknow,228,185
Chitrakoot,Rajsamand,846,704
Chitrakoot,Kota,606,504
Chitrakoot,Sikar,776,631
Chitrakoot,Prayagraj,124,102
Chitrakoot,Sarangarh,686,457
Chitrakoot,Lakhimpur,357,306
Chitrakoot,Morena,423,322
Chitrakoot,Jodhpur,988,795
Chitrakoot,Mahoba,121,99
Chitrakoot,Pakur,867,708
Chitrakoot,Sagar,336,261
Chitrakoot,Nawada,550,473
Chitrakoot,Jaipur,662,543
Chitrakoot,Durgapur,757,679
Chitrakoot,Chitrakoot,0,0
Chitrakoot,Rohtas,381,318
Chitrakoot,Jehanabad,492,415
Daudnagar,Agra,800,681
Daudnagar,Aligarh,803,704
Daudnagar,Araria,417,330
Daudnagar,Arrah,87,63
Daudnagar,Baghpat,966,833
Daudnagar,Balaghat,829,559
Daudnagar,Belagavi,1794,1448
Daudnagar,Bikaner,1325,1153
Daudnagar,Bundi,1049,882
Daudnagar,Lucknow,466,399
Daudnagar,Rajsamand,1259,1060
Daudnagar,Raebareli,435,342
Daudnagar,Patna,105,96
Daudnagar,Gaya,71,66
Daudnagar,Sikar,1151,967
Daudnagar,Prayagraj,285,261
Daudnagar,Una,1321,1069
Daudnagar,Lakhimpur,609,484
Daudnagar,Madhepura,288,235
Daudnagar,Sitamarhi,235,204
Daudnagar,Sitapur,557,465
Daudnagar,Delhi,978,831
Daudnagar,Jodhpur,1368,1149
Daudnagar,Mahoba,534,455
Daudnagar,Pakur,447,351
Daudnagar,Sagar,749,589
Daudnagar,Ghazipur,136,102
Daudnagar,Jaipur,1038,886
Daudnagar,Rohtas,46,38
Daudnagar,Palamu,160,135
Daudnagar,Jehanabad,72,62
Daudnagar,Sri Ganganagar,1420,1170
Delhi,Agra,227,191
Delhi,Aligarh,163,131
Delhi,Arrah,964,826
Delhi,Baghpat,48,29
Delhi,Balaghat,1011,823
Delhi,Belagavi,1719,1448
Delhi,Bhagalpur,1248,1052
Delhi,Bhopal,783,603
Delhi,Bundi,475,390
Delhi,Calicut,2401,1936
Delhi,Daudnagar,978,831
Delhi,Lucknow,497,431
Delhi,Rajsamand,621,514
Delhi,Raebareli,568,493
Delhi,Gaya,1038,896
Delhi,Kota,467,405
Delhi,Sikar,273,227
Delhi,Una,365,316
Delhi,Lakhimpur,451,370
Delhi,Madhepura,1137,958
Delhi,Hanamkonda,1475,1210
Delhi,Sitamarhi,1054,861
Delhi,Sitapur,454,373
Delhi,Delhi,0,0
Delhi,Jodhpur,559,486
Delhi,Pakur,1385,1160
Delhi,Sagar,639,563
Delhi,Mirzapur,761,671
Delhi,Ghazipur,844,728
Delhi,Jaipur,286,237
Delhi,Durgapur,1297,1170
Delhi,Rohtas,937,796
Delhi,Jehanabad,1039,872
Durgapur,Agra,1104,1019
Durgapur,Aligarh,1133,1044
Durgapur,Baghpat,1296,1172
Durgapur,Balaghat,1024,756
Durgapur,Belagavi,2000,1588
Durgapur,Bhagalpur,246,193
Durgapur,Calicut,2264,1826
Durgapur,Chitrakoot,757,679
Durgapur,Delhi,1297,1170
Durgapur,Raebareli,743,681
Durgapur,Patna,413,318
Durgapur,Gaya,311,273
Durgapur,Prayagraj,621,593
Durgapur,Una,1648,1400
Durgapur,Sarangarh,658,485
Durgapur,Lakhimpur,929,818
Durgapur,Hanamkonda,1391,1011
Durgapur,Morena,1108,996
Durgapur,Sitapur,933,803
Durgapur,Faridabad,1276,1137
Durgapur,Jodhpur,1669,1473
Durgapur,Pakur,168,134
Durgapur,Sagar,1085,875
Durgapur,Ghazipur,512,442
Durgapur,Jaipur,1339,1220
Durgapur,Durgapur,0,0
Durgapur,Rohtas,405,375
Durgapur,Palamu,427,329
Durgapur,Sri Ganganagar,1721,1510
Faridabad,Agra,178,152
Faridabad,Aligarh,117,94
Faridabad,Arrah,961,794
Faridabad,Baghpat,67,59
Faridabad,Balaghat,968,785
Faridabad,Belagavi,1684,1420
Faridabad,Bhagalpur,1244,1021
Faridabad,Bhopal,748,570
Faridabad,Bikaner,445,395
Faridabad,Bundi,440,369
Faridabad,Calicut,2366,1905
Faridabad,Durgapur,1276,1137
Faridabad,Lucknow,447,397
Faridabad,Rajsamand,607,503
Faridabad,Raebareli,518,458
Faridabad,Patna,955,836
Faridabad,Gaya,988,863
Faridabad,Kota,433,382
Faridabad,Sikar,290,231
Faridabad,Una,402,353
Faridabad,Sarangarh,1175,953
Faridabad,Lakhimpur,451,343
Faridabad,Madhepura,1087,930
Faridabad,Hanamkonda,1430,1174
Faridabad,Sitamarhi,1004,833
Faridabad,Morena,255,222
Faridabad,Sitapur,419,343
Faridabad,Faridabad,0,0
Faridabad,Jodhpur,603,488
Faridabad,Pakur,1335,1129
Faridabad,Mirzapur,711,635
Faridabad,Ghazipur,794,695
Faridabad,Palamu,1030,846
Faridabad,Jehanabad,989,840
Faridabad,Sri Ganganagar,448,373
Gaya,Agra,871,748
Gaya,Araria,396,287
Gaya,Arrah,130,90
Gaya,Baghpat,1037,898
Gaya,Balaghat,885,592
Gaya,Belagavi,1865,1476
Gaya,Bhagalpur,240,205
Gaya,Bikaner,1396,1219
Gaya,Calicut,2372,1786
Gaya,Daudnagar,71,66
Gaya,Delhi,1038,896
Gaya,Durgapur,311,273
Gaya,Faridabad,988,863
Gaya,Lucknow,537,465
Gaya,Rajsamand,1330,1122
Gaya,Gaya,0,0
Gaya,Prayagraj,356,325
Gaya,Una,1392,1131
Gaya,Sarangarh,566,405
Gaya,Lakhimpur,680,547
Gaya,Madhepura,283,206
Gaya,Hanamkonda,1323,939
Gaya,Sitamarhi,230,205
Gaya,Morena,843,728
Gaya,Mahoba,605,519
Gaya,Ghazipur,207,168
Gaya,Jaipur,1109,952
Gaya,Rohtas,117,103
Gaya,Palamu,216,139
Gaya,Jehanabad,49,46
Ghazipur,Agra,677,582
Ghazipur,Aligarh,680,603
Ghazipur,Araria,470,393
Ghazipur,Arrah,122,109
Ghazipur,Bhagalpur,405,343
Ghazipur,Bhopal,821,676
Ghazipur,Bikaner,1202,1055
Ghazipur,Bundi,955,797
Ghazipur,Calicut,2224,1785
Ghazipur,Daudnagar,136,102
Ghazipur,Delhi,844,728
Ghazipur,Durgapur,512,442
Ghazipur,Faridabad,794,695
Ghazipur,Gaya,207,168
Ghazipur,Lucknow,343,297
Ghazipur,Rajsamand,1165,977
Ghazipur,Raebareli,279,243
Ghazipur,Patna,174,156
Ghazipur,Sikar,1028,869
Ghazipur,Prayagraj,202,174
Ghazipur,Una,1198,967
Ghazipur,Sarangarh,689,446
Ghazipur,Lakhimpur,486,381
Ghazipur,Madhepura,342,288
Ghazipur,Sitamarhi,289,222
Ghazipur,Morena,693,567
Ghazipur,Sitapur,433,362
Ghazipur,Jodhpur,1245,1059
Ghazipur,Mahoba,441,372
Ghazipur,Pakur,554,443
Ghazipur,Sagar,656,526
Ghazipur,Nawada,267,212
Ghazipur,Mirzapur,142,113
Ghazipur,Ghazipur,0,0
Ghazipur,Jaipur,915,791
Ghazipur,Palamu,296,200
Ghazipur,Jehanabad,208,147
Ghazipur,Sri Ganganagar,1297,1068
Hanamkonda,Agra,1257,1027
Hanamkonda,Aligarh,1350,1105
Hanamkonda,Araria,1647,1213
Hanamkonda,Arrah,1321,988
Hanamkonda,Belagavi,737,589
Hanamkonda,Bhagalpur,1542,1108
Hanamkonda,Bhopal,793,623
Hanamkonda,Bikaner,1619,1280
Hanamkonda,Bundi,1181,916
Hanamkonda,Calicut,1059,850
Hanamkonda,Delhi,1475,1210
Hanamkonda,Durgapur,1391,1011
Hanamkonda,Faridabad,1430,1174
Hanamkonda,Gaya,1323,939
Hanamkonda,Lucknow,1250,989
Hanamkonda,Rajsamand,1366,977
Hanamkonda,Raebareli,1150,927
Hanamkonda,Patna,1333,1018
Hanamkonda,Una,1864,1527
Hanamkonda,Sarangarh,802,541
Hanamkonda,Lakhimpur,1383,1107
Hanamkonda,Hanamkonda,0,0
Hanamkonda,Morena,1179,953
Hanamkonda,Sitapur,1341,1065
Hanamkonda,Jodhpur,1517,1133
Hanamkonda,Pakur,1579,1130
Hanamkonda,Sagar,832,651
Hanamkonda,Nawada,1349,982
Hanamkonda,Mirzapur,1109,848
Hanamkonda,Jaipur,1386,1059
Hanamkonda,Rohtas,1262,907
Hanamkonda,Palamu,1107,800
Hanamkonda,Jehanabad,1300,975
Hanamkonda,Sri Ganganagar,1843,1438
Jaipur,Agra,239,222
Jaipur,Aligarh,284,252
Jaipur,Araria,1334,1165
Jaipur,Arrah,1024,899
Jaipur,Baghpat,326,265
Jaipur,Bhagalpur,1307,1134
Jaipur,Calicut,2145,1732
Jaipur,Chitrakoot,662,543
Jaipur,Daudnagar,1038,886
Jaipur,Delhi,286,237
Jaipur,Durgapur,1339,1220
Jaipur,Gaya,1109,952
Jaipur,Ghazipur,915,791
Jaipur,Hanamkonda,1386,1059
Jaipur,Lucknow,569,512
Jaipur,Rajsamand,335,279
Jaipur,Raebareli,639,549
Jaipur,Patna,1077,945
Jaipur,Kota,256,188
Jaipur,Sikar,116,100
Jaipur,Prayagraj,710,627
Jaipur,Una,606,507
Jaipur,Sarangarh,1211,946
Jaipur,Lakhimpur,587,506
Jaipur,Madhepura,1208,1058
Jaipur,Sitamarhi,1125,966
Jaipur,Morena,290,224
Jaipur,Sitapur,564,489
Jaipur,Jodhpur,330,285
Jaipur,Mahoba,609,447
Jaipur,Sagar,615,451
Jaipur,Nawada,1169,1002
Jaipur,Mirzapur,806,706
Jaipur,Jaipur,0,0
Jaipur,Rohtas,966,848
Jaipur,Palamu,1125,902
Jehanabad,Aligarh,875,748
Jehanabad,Araria,362,267
Jehanabad,Arrah,80,49
Jehanabad,Baghpat,1038,873
Jehanabad,Belagavi,1866,1505
Jehanabad,Bhopal,987,798
Jehanabad,Calicut,2373,1824
Jehanabad,Chitrakoot,492,415
Jehanabad,Daudnagar,72,62
Jehanabad,Delhi,1039,872
Jehanabad,Faridabad,989,840
Jehanabad,Gaya,49,46
Jehanabad,Ghazipur,208,147
Jehanabad,Hanamkonda,1300,975
Jehanabad,Rajsamand,1331,1119
Jehanabad,Raebareli,507,391
Jehanabad,Patna,52,44
Jehanabad,Kota,1091,918
Jehanabad,Sikar,1224,1017
Jehanabad,Prayagraj,357,316
Jehanabad,Una,1393,1099
Jehanabad,Sarangarh,615,446
Jehanabad,Lakhimpur,681,516
Jehanabad,Sitamarhi,180,160
Jehanabad,Morena,844,714
Jehanabad,Sitapur,629,502
Jehanabad,Jodhpur,1440,1205
Jehanabad,Sagar,821,651
Jehanabad,Nawada,90,66
Jehanabad,Rohtas,118,98
Jehanabad,Palamu,228,176
Jehanabad,Jehanabad,0,0
Jehanabad,Sri Ganganagar,1492,1213
Jodhpur,Aligarh,615,534
Jodhpur,Araria,1665,1441
Jodhpur,Arrah,1354,1168
Jodhpur,Baghpat,593,511
Jodhpur,Balaghat,1151,877
Jodhpur,Bhagalpur,1638,1403
Jodhpur,Bhopal,724,553
Jodhpur,Bikaner,253,199
Jodhpur,Calicut,2166,1683
Jodhpur,Chitrakoot,988,795
Jodhpur,Daudnagar,1368,1149
Jodhpur,Delhi,559,486
Jodhpur,Durgapur,1669,1473
Jodhpur,Faridabad,603,488
Jodhpur,Ghazipur,1245,1059
Jodhpur,Hanamkonda,1517,1133
Jodhpur,Jaipur,330,285
Jodhpur,Jehanabad,1440,1205
Jodhpur,Lucknow,899,792
Jodhpur,Rajsamand,190,155
Jodhpur,Patna,1407,1215
Jodhpur,Kota,374,306
Jodhpur,Sikar,315,259
Jodhpur,Prayagraj,1040,888
Jodhpur,Sarangarh,1417,1145
Jodhpur,Lakhimpur,918,791
Jodhpur,Madhepura,1539,1334
Jodhpur,Sitamarhi,1456,1244
Jodhpur,Morena,633,496
Jodhpur,Sitapur,895,774
Jodhpur,Jodhpur,0,0
Jodhpur,Pakur,1787,1501
Jodhpur,Sagar,817,634
Jodhpur,Nawada,1500,1266
Jodhpur,Mirzapur,1136,965
Jodhpur,Palamu,1455,1148
Kota,Aligarh,446,370
Kota,Araria,1396,1167
Kota,Arrah,1086,886
Kota,Baghpat,542,434
Kota,Balaghat,768,579
Kota,Belagavi,1212,1046
Kota,Bhopal,341,267
Kota,Calicut,1894,1544
Kota,Chitrakoot,606,504
Kota,Delhi,467,405
Kota,Faridabad,433,382
Kota,Jaipur,256,188
Kota,Jehanabad,1091,918
Kota,Jodhpur,374,306
Kota,Lucknow,634,540
Kota,Rajsamand,251,200
Kota,Raebareli,662,552
Kota,Patna,1129,933
Kota,Kota,0,0
Kota,Sikar,368,275
Kota,Prayagraj,720,602
Kota,Sarangarh,1048,839
Kota,Lakhimpur,767,575
Kota,Madhepura,1260,1060
Kota,Morena,331,256
Kota,Mahoba,484,405
Kota,Pakur,1463,1211
Kota,Sagar,448,328
Kota,Rohtas,977,822
Lakhimpur,Aligarh,328,264
Lakhimpur,Araria,830,691
Lakhimpur,Baghpat,430,364
Lakhimpur,Belagavi,1850,1487
Lakhimpur,Bhagalpur,878,686
Lakhimpur,Bikaner,884,734
Lakhimpur,Chitrakoot,357,306
Lakhimpur,Daudnagar,609,484
Lakhimpur,Delhi,451,370
Lakhimpur,Durgapur,929,818
Lakhimpur,Faridabad,451,343
Lakhimpur,Gaya,680,547
Lakhimpur,Ghazipur,486,381
Lakhimpur,Hanamkonda,1383,1107
Lakhimpur,Jaipur,587,506
Lakhimpur,Jehanabad,681,516
Lakhimpur,Jodhpur,918,791
Lakhimpur,Kota,767,575
Lakhimpur,Lucknow,131,122
Lakhimpur,Raebareli,208,195
Lakhimpur,Patna,627,505
Lakhimpur,Sikar,668,556
Lakhimpur,Sarangarh,958,741
Lakhimpur,Lakhimpur,0,0
Lakhimpur,Madhepura,702,589
Lakhimpur,Sitapur,46,43
Lakhimpur,Mahoba,362,306
Lakhimpur,Pakur,1007,795
Lakhimpur,Sagar,577,498
Lakhimpur,Mirzapur,416,358
Lakhimpur,Rohtas,559,453
Lakhimpur,Palamu,713,563
Lakhimpur,Sri Ganganagar,866,706
Lucknow,Aligarh,333,305
Lucknow,Arrah,452,398
Lucknow,Belagavi,1717,1389
Lucknow,Bhagalpur,735,628
Lucknow,Bhopal,612,534
Lucknow,Bundi,667,552
Lucknow,Calicut,2224,1808
Lucknow,Chitrakoot,228,185
Lucknow,Daudnagar,466,399
Lucknow,Delhi,497,431
Lucknow,Faridabad,447,397
Lucknow,Gaya,537,465
Lucknow,Ghazipur,343,297
Lucknow,Hanamkonda,1250,989
Lucknow,Jaipur,569,512
Lucknow,Jodhpur,899,792
Lucknow,Kota,634,540
Lucknow,Lakhimpur,131,122
Lucknow,Raebareli,78,74
Lucknow,Patna,504,440
Lucknow,Sikar,683,581
Lucknow,Prayagraj,201,180
Lucknow,Una,818,684
Lucknow,Morena,348,296
Lucknow,Sitapur,88,83
Lucknow,Pakur,884,734
Lucknow,Sagar,444,401
Lucknow,Nawada,597,509
Lucknow,Rohtas,436,365
Lucknow,Palamu,626,460
Lucknow,Sri Ganganagar,951,771
Madhepura,Agra,970,840
Madhepura,Aligarh,973,844
Madhepura,Arrah,224,185
Madhepura,Baghpat,1136,954
Madhepura,Bhagalpur,186,119
Madhepura,Bhopal,1164,962
Madhepura,Bundi,1293,1079
Madhepura,Calicut,2547,1991
Madhepura,Daudnagar,288,235
Madhepura,Delhi,1137,958
Madhepura,Faridabad,1087,930
Madhepura,Gaya,283,206
Madhepura,Ghazipur,342,288
Madhepura,Jaipur,1208,1058
Madhepura,Jodhpur,1539,1334
